Timestamp,Method,Endpoint,Response Time (ms),Size (bytes)
"2024-06-25 20:34:12,012",GET,/api/v1/consignservice/consigns/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,31.798417097888887,66
"2024-06-25 20:34:12,013",GET,/api/v1/adminuserservice/users,35.56495800148696,235
"2024-06-25 20:34:12,013",GET,/api/v1/adminuserservice/users,35.98354198038578,235
"2024-06-25 20:34:12,015",GET,/api/v1/preserveotherservice/welcome,26.78537496831268,38
"2024-06-25 20:34:12,019",GET,/api/v1/executeservice/welcome,34.52170907985419,32
"2024-06-25 20:34:12,019",GET,/api/v1/basicservice/basic/shanghai,40.98916694056243,74
"2024-06-25 20:34:12,019",GET,/api/v1/adminorderservice/adminorder,45.14675005339086,1871
"2024-06-25 20:34:12,019",GET,/api/v1/adminuserservice/users,42.12916595861316,235
"2024-06-25 20:34:12,019",GET,/api/v1/configservice/configs,40.082500083372,191
"2024-06-25 20:34:12,019",GET,/api/v1/paymentservice/payment,31.30425000563264,365
"2024-06-25 20:34:12,019",GET,/api/v1/contactservice/contacts,35.88220803067088,459
"2024-06-25 20:34:12,020",GET,/api/v1/executeservice/welcome,35.265999962575734,32
"2024-06-25 20:34:12,020",GET,/api/v1/paymentservice/payment,31.653292011469603,365
"2024-06-25 20:34:12,020",GET,/api/v1/notifyservice/test_send_mq,33.32383302040398,4
"2024-06-25 20:34:12,020",GET,/api/v1/executeservice/welcome,35.61037499457598,32
"2024-06-25 20:34:12,020",GET,/api/v1/notifyservice/test_send_mq,33.61275000497699,4
"2024-06-25 20:34:12,020",GET,/api/v1/orderservice/order/9bb0ac3e-b305-4929-84a9-2dfac9de3471,32.242582994513214,48
"2024-06-25 20:34:12,020",GET,/api/v1/preserveservice/welcome,31.098375096917152,33
"2024-06-25 20:34:12,020",GET,/api/v1/preserveservice/welcome,31.3167090062052,33
"2024-06-25 20:34:12,025",GET,/api/v1/adminrouteservice/adminroute,50.15370901674032,1703
"2024-06-25 20:34:12,025",GET,/api/v1/adminrouteservice/adminroute,48.69429208338261,1703
"2024-06-25 20:34:12,025",GET,/api/v1/adminorderservice/adminorder,50.76729191932827,1871
"2024-06-25 20:34:12,025",GET,/api/v1/adminorderservice/adminorder,50.65600003581494,1871
"2024-06-25 20:34:12,025",GET,/api/v1/adminrouteservice/adminroute,50.33604195341468,1703
"2024-06-25 20:34:12,025",GET,/api/v1/fooddeliveryservice/orders/all,40.32037500292063,42
"2024-06-25 20:34:12,025",GET,/api/v1/foodservice/orders,39.85816705971956,43
